"landscape","site","Amazilia_lact","Amazon_aest","Anabaz_fuscus","Aphant_cirr","Aramid_sarac","Aramides_caj","Arati_leuco","Aratin_auri","Arrem_flav","Arremon_sem","Attila_phoenicurus","Attila_rufus","Autom_leuco","Bailoni_Bailo","Baryph_rufica","Basile_cul","Basile_leuco","Basileu_flav","Batara_cine","Broto_tirica","Brotoger_chi","Cacicus_chry","Calli_ameth","Campeph_rob","Campto_obso","Capsiempsi_fla","Carpor_cuc","Celeus_fla","Chamae_campa","Chamaeza_meru","Chirox_caud","Chlor_cyanea","Chlorost_luci","Ciss_leverianus","Cnemo_fus","Coereba_fla","Col_squam","Colapt_melan","Colib_serr","Colonia_col","Conir_spe","Conop_line","Corytop_del","Cran_palid","Cryp_tata","Crypt_obsol","Crypt_parvi","Cyan_crist","Cyano_briss","Cyclar_guj","Dacnis_caya","Dend_platyros","Drom_pavoni","Dry_squamata","Drym_ferruginea","Drym_malura","Drym_rubricollis","Drym_uchro","Dryocop_lin","Dysith_ment","Elaen_meso","Elaenia_flav","Eup_chalibea","Eup_cyanocephala","Eupet_macroura","Euph_violacea","Eupho_pectoralis","Euphoni_chlo","Floris_fusc","For_xantopter","Geotry_montana","Geotry_vio","Gral_varia","Habia_rubica","Heliomaster squamosus","Hemi_rufica","Hemithra_gui","Hemitr_dio","Her_long","Herps_ruf","Hylo_poi","Hylophi_amau","Hypoed_gut","Lanio_cuccul","Lathro_eul","Legatus_leu","Lepid_squa","Lepto_amau","Lepto_verr","Leptot_ruf","Leuco_albicol","Loch_nem","Mach_leachi","Mack_severa","Malac_stri","Megaryn_pit","Mionec_ruf","Myiar_ferox","Myiar_swa","Myio_caniceps","Myiodi_macul","Myiopho_fas","Myiornis_aur","Myioz_simi","Myrmoderus_squamosus","Odont_capu","Pach_validus","Pach_viridis","Pachy_castane","Pachyr_poly","Parula_pit","Patag_pic","Patagioe_cayan","Pene_obs","Phae_eury","Phae_pret","Phily_rufum","Phyl_exim","Phyllomyias_fas","Phyllos_vent","Picum_cirr","Pion_maxi","Piprae_mela","Pitan_sulp","Platyr_myst","Poecilo_plum","Pseroco_dec","Psilor_gutattus","Pyaia_caya","Pyrigl_leu","Pyroder_scu","Pyrrh_ruficeps","Pyrrhura fron","Ramph_dicol","Ramphas_toco","Sal_maxilosus","Saltat_simi","Saltato_fuli","Schiff_vire","Scler_scan","Serpo_sub","Sirys_sib","Sitass_gris","Spo_frontalis","Stephan_diad","Syna_ruf","Syna_spi","Synal_cine","Synal_fron","Syndact_rufo","Tachyph_cor","Tan_desmaresti","Tan_ornata","Tang_cayana","Tanga_cyanoVEN","Tapera_nae","Terenura_mac","Tersina_virid","Thalur_gla","Tham_ruficap","Thamn_doli","Thamnop_caerul","Thly_sordida","Thrau_saya","Thricoth_melan","Tod_cinereum","Todirostum_polio","Tolmo_sulph","Trogo_surr","Trogon_rufus","Turd_albic","Turd_amauro","Turd_flavipes","Turd_leuco","Turdus_ruf","Tyran_melan","Venilior_spil","Vireo_chiv","Xenops_ruti","Xyphor_fusc"
"148","148.P10",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,3,0,NA,0,0,0,NA,0,NA,2,NA,0,0,NA,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,2,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,1,NA,1,1,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,0,0,1,NA,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,NA,0,0,NA,1,NA,0,0,NA,0,1,0,0,0,1,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,2,2,0,0,1,1,1
"148","148.P13",0,0,0,0,0,0,1,NA,NA,0,0,0,1,0,NA,4,1,NA,0,0,0,NA,0,NA,0,NA,0,0,NA,0,1,0,1,0,0,0,NA,0,0,0,0,2,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,3,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,1,0,NA,2,NA,1,NA,1,2,1,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,NA,0,1,NA,1,NA,4,0,NA,0,1,0,0,1,0,0,NA,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,NA,2,0,0,0,2,1,0,1,1,0,0,2,0,2
"148","148.P17",0,0,1,0,0,0,0,NA,NA,0,0,0,1,0,NA,3,2,NA,0,0,0,NA,0,NA,0,NA,0,0,NA,0,1,1,0,0,0,0,NA,0,0,0,1,1,0,0,1,0,1,0,NA,3,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,1,NA,0,NA,2,1,1,0,0,0,0,NA,1,1,0,0,0,0,0,1,0,0,2,NA,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,NA,0,0,NA,0,NA,1,1,NA,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,0,1,0,0,1,1,1,1,2,0,3,2,0,3
"148","148.P18",0,0,1,0,1,0,0,NA,NA,0,0,0,2,0,NA,4,4,NA,0,0,0,NA,0,NA,0,NA,1,0,NA,0,3,0,0,0,0,1,NA,0,0,0,1,3,0,1,0,2,0,1,NA,4,0,0,0,0,0,0,0,1,0,3,0,0,0,NA,0,0,0,0,1,0,0,1,3,0,NA,0,0,0,NA,0,0,NA,1,NA,1,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,NA,0,0,NA,1,NA,3,0,NA,0,3,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,NA,2,2,1,1,1,0,1,0,1,0,0,2,1,4
"215","215.P01",0,0,0,0,0,0,0,NA,NA,0,0,0,2,0,NA,4,0,NA,0,0,0,NA,0,NA,4,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,3,0,0,0,0,0,2,NA,2,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,2,NA,0,0,3,0,0,0,0,NA,1,1,0,0,1,0,2,0,0,0,0,NA,0,0,0,0,1,4,0,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,NA,0,1,NA,0,NA,0,0,NA,0,0,0,0,0,2,0,NA,1,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,NA,1,0,0,0,0,0,0,2,2,0,0,0,1,0
"215","215.P04",0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,NA,3,0,NA,0,0,1,NA,0,NA,4,NA,0,0,NA,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,1,0,NA,2,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,1,0,0,0,0,0,NA,0,1,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,1,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,0,3,0,0,0,0,0,4,0,1,0,2,1,0
"215","215.P30",0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,NA,4,4,NA,0,0,0,NA,0,NA,4,NA,0,0,NA,0,1,0,0,0,0,1,NA,1,0,0,0,1,0,0,0,1,2,0,NA,2,0,0,0,0,0,0,0,0,0,3,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,1,NA,2,NA,0,2,1,0,0,0,0,NA,0,2,0,0,2,0,1,0,1,1,0,NA,0,0,0,2,1,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,NA,0,0,NA,1,NA,0,0,NA,0,0,0,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,3,3,1,0,0,1,0,1,0,0,1,3,1,2
"215","215.P35",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,3,0,NA,0,0,1,NA,0,NA,2,NA,0,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,0,2,1,NA,3,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,2,NA,2,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,0,0,NA,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,1,0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,1,0,0,0,0,1,2
"220","220.P00",0,0,0,0,1,0,0,NA,NA,0,0,0,3,0,NA,4,4,NA,0,0,0,NA,0,NA,1,NA,0,0,NA,0,3,0,0,0,0,0,NA,0,0,0,1,2,0,0,0,1,0,0,NA,1,0,0,0,0,0,1,0,0,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,3,NA,0,1,1,2,0,2,0,NA,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,2,0,0,1,0,0,2,1,1,1,2,1,1,0,2,0,0,0,0,4,0,1,NA,0,0,NA,0,NA,1,0,NA,0,3,0,0,1,0,0,NA,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,NA,2,3,0,0,0,0,0,0,4,0,1,2,3,3
"220","220.P07",1,0,0,0,0,0,0,NA,NA,0,0,0,1,0,NA,2,0,NA,0,0,0,NA,0,NA,2,NA,0,0,NA,0,0,0,0,0,0,3,NA,0,0,0,0,2,0,0,0,0,1,1,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,1,0,0,0,0,0,NA,0,2,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,NA,0,0,NA,1,NA,0,0,NA,0,0,0,0,3,0,0,NA,0,2,0,0,0,0,1,0,0,0,1,0,1,0,4,1,NA,1,2,0,0,0,0,0,3,2,1,1,2,1,0
"220","220.P08",1,0,1,0,1,0,0,NA,NA,0,0,0,1,0,NA,2,0,NA,0,0,1,NA,0,NA,2,NA,0,0,NA,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,2,0,NA,3,0,0,0,0,0,0,0,2,0,2,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,NA,0,0,NA,0,NA,1,0,NA,0,0,0,0,2,0,0,NA,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,NA,1,3,0,0,0,0,0,1,0,0,0,1,1,0
"220","220.P19",1,0,1,1,0,0,0,NA,NA,0,0,0,1,0,NA,4,1,NA,0,0,0,NA,0,NA,2,NA,0,1,NA,0,1,0,0,0,0,1,NA,1,0,0,0,3,0,0,1,1,1,0,NA,4,0,0,0,0,0,1,0,0,0,3,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,1,NA,2,NA,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,2,0,0,NA,1,0,NA,1,NA,0,0,NA,0,1,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,NA,1,2,0,0,0,1,1,2,2,0,2,2,1,2
"263","263.P00",0,0,0,0,0,0,0,NA,NA,0,0,0,2,0,NA,3,3,NA,0,0,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,3,2,0,0,1,0,NA,1,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,1,1,3,0,0,0,3,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,NA,0,1,0,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0,0,0,2,0,0
"263","263.P02",1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,3,0,NA,0,0,0,NA,0,NA,3,NA,0,0,NA,0,0,0,1,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,NA,3,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,NA,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"263","263.P05",0,0,0,0,1,0,0,NA,NA,0,0,0,1,0,NA,4,0,NA,0,0,0,NA,0,NA,2,NA,0,0,NA,0,0,0,1,0,1,2,NA,0,0,0,0,1,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,NA,0,NA,1,NA,0,0,0,0,1,0,0,NA,0,2,0,0,1,0,1,0,0,0,0,NA,0,0,0,1,3,3,0,0,0,1,0,0,0,1,2,0,0,2,0,1,0,0,1,0,0,0,NA,0,0,NA,1,NA,0,0,NA,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,3,2,0,0,0,1,0,2,0,0,1,1,2,0
"263","263.P09",0,0,0,0,0,0,2,NA,NA,0,0,0,2,0,NA,4,2,NA,0,0,0,NA,0,NA,1,NA,0,0,NA,0,1,0,2,0,0,1,NA,1,0,0,0,2,0,0,0,0,1,0,NA,4,0,0,0,0,0,0,0,0,0,4,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,2,NA,0,0,2,0,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,0,NA,0,0,NA,2,NA,1,0,NA,0,0,0,0,1,1,0,NA,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,NA,0,3,0,0,2,0,0,1,0,0,1,2,0,0
"266","266.P01",2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,4,4,NA,0,0,0,NA,0,NA,1,NA,0,0,NA,0,0,0,1,0,0,1,NA,0,1,0,0,1,0,0,0,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,2,0,0,0,0,0,NA,0,2,0,0,1,0,1,0,0,0,0,NA,0,0,1,1,3,3,0,0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,1,0,0,0,NA,0,0,NA,2,NA,0,0,NA,0,2,0,0,3,1,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,NA,1,2,0,0,1,1,0,1,1,0,0,2,0,0
"266","266.P12",1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,4,0,NA,0,0,0,NA,0,NA,3,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,1,2,0,0,0,0,NA,0,2,0,0,1,1,1,0,0,0,0,NA,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,NA,0,1,0,0,3,1,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,0,2,0,0,0,1,0,2,0,0,0,2,0,0
"266","266.P22",2,0,3,0,0,0,1,NA,NA,0,0,0,0,0,NA,4,3,NA,1,0,0,NA,0,NA,2,NA,2,0,NA,0,1,1,0,0,0,0,NA,1,0,0,0,3,0,0,0,2,1,1,NA,4,0,0,0,0,0,0,0,4,0,2,0,0,0,NA,0,1,0,1,0,0,0,0,0,0,NA,0,0,0,NA,1,0,NA,1,NA,0,NA,1,1,0,0,0,0,1,NA,1,0,0,0,3,0,0,0,0,0,0,NA,0,0,0,0,0,2,1,0,0,0,1,0,0,3,0,1,0,0,2,1,0,0,0,3,0,0,NA,0,0,NA,2,NA,1,0,NA,0,3,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,0,2,1,0,1,0,2,0,1,0,1,2,1,3
"266","266.P28",0,0,0,0,1,0,0,NA,NA,0,0,0,1,0,NA,2,3,NA,0,0,0,NA,0,NA,0,NA,0,1,NA,0,4,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,1,1,NA,2,1,0,0,0,0,0,0,1,0,2,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,1,NA,1,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,3,0,0,NA,0,0,NA,1,NA,2,0,NA,0,4,0,0,1,0,0,NA,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,3,0,2,2,1,3
"282","282.P09",0,1,0,0,0,0,1,NA,NA,0,0,0,1,0,NA,4,2,NA,0,0,1,NA,0,NA,1,NA,0,1,NA,0,1,0,0,0,0,1,NA,0,0,0,0,2,0,0,0,0,1,0,NA,3,0,0,0,0,0,0,0,0,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,1,4,0,0,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,1,NA,0,0,NA,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,0,3,0,0,0,0,0,1,0,1,1,2,0,0
"282","282.P13",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,4,3,NA,0,0,0,NA,0,NA,1,NA,0,0,NA,0,0,0,1,0,0,0,NA,1,0,0,1,3,0,0,0,0,1,0,NA,2,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,1,1,0,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"282","282.P19",1,0,0,0,0,0,1,NA,NA,0,0,0,1,0,NA,4,2,NA,0,0,0,NA,0,NA,2,NA,0,2,NA,0,0,0,1,0,0,0,NA,1,0,0,1,2,0,0,0,0,2,0,NA,3,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,1,2,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,1,0,NA,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,0,0,3,0,3,0,0,1,0,0,0,NA,0,0,NA,1,NA,0,0,NA,0,0,0,0,1,1,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,NA,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"282","282.P38",0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,4,0,NA,0,0,1,NA,0,NA,2,NA,0,0,NA,0,0,0,0,0,0,1,NA,1,0,1,0,1,0,0,0,0,1,0,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,NA,0,1,0,0,0,1,0,3,2,0,0,1,0,0
"291","291.P01",0,0,4,0,0,0,0,NA,NA,0,0,0,2,0,NA,3,2,NA,0,0,0,NA,0,NA,0,NA,0,1,NA,0,4,0,0,0,0,1,NA,0,0,0,0,2,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,2,0,3,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,NA,0,0,NA,0,NA,3,NA,0,0,1,1,0,0,0,NA,1,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,1,0,2,0,1,1,1,2,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,NA,0,0,NA,2,NA,4,0,NA,0,2,0,0,0,0,0,NA,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,NA,2,3,0,0,0,1,0,1,2,0,1,1,3,4
"291","291.P11",0,0,2,0,0,0,0,NA,NA,0,0,3,4,0,NA,3,3,NA,1,0,0,NA,0,NA,2,NA,0,1,NA,0,3,0,0,1,1,2,NA,1,0,0,1,3,0,1,0,0,1,0,NA,4,0,1,0,0,1,1,0,1,0,2,0,0,1,NA,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,1,NA,0,NA,2,NA,0,1,0,1,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,NA,1,0,1,1,1,3,0,2,2,0,1,0,0,1,0,1,0,1,2,0,0,0,0,2,0,0,NA,0,0,NA,2,NA,2,0,NA,0,4,0,0,1,0,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,1,2,0,0,1,0,1,2,1,0,0,2,1,2
